feedback_text,category
"The bridge needs immediate repairs.",Infrastructure
"Streetlights in our area have not been working for weeks.",Infrastructure
"The main road has severe cracks that make driving dangerous.",Infrastructure
"Traffic signals are not synchronized, causing major jams.",Infrastructure
"The newly constructed road is already developing potholes.",Infrastructure
"Footpaths in residential areas are poorly maintained.",Infrastructure
"The flyover construction is delayed, creating inconvenience.",Infrastructure
"Many roads do not have pedestrian crossings.",Infrastructure
"The traffic light on 5th avenue is broken for days.",Infrastructure
"Street signs are missing in many neighborhoods.",Infrastructure
"The parking lot near the mall is always overcrowded.",Infrastructure
"Street repair work takes too long, causing traffic congestion.",Infrastructure
"Open manholes on roads pose a serious risk to pedestrians.",Infrastructure
"Insufficient lighting on highways increases the risk of accidents.",Infrastructure
"Bridges in rural areas are in a state of disrepair.",Infrastructure
"The city roads need better signboards and lane markings.",Infrastructure
"Farmers struggle due to a lack of proper irrigation infrastructure.",Infrastructure
"More public toilets should be constructed in urban areas.",Infrastructure
"Nighttime lighting on major roads is insufficient.",Infrastructure
"Traffic congestion has worsened near new commercial centers.",Infrastructure
"Flooded streets during rains cause severe traffic disruptions.",Infrastructure
"The main highway requires immediate resurfacing to prevent accidents.",Infrastructure
"Lack of proper parking spaces leads to illegal parking in markets.",Infrastructure
"Heavy traffic is a regular issue during office hours.",Infrastructure
"The flyover design has safety issues that need to be addressed.",Infrastructure
"Potholes on major highways are causing frequent accidents.",Infrastructure
"Lack of pedestrian walkways near schools is a safety hazard.",Infrastructure
"Residential roads are uneven and difficult to drive on.",Infrastructure
"Bridge inspections are not conducted regularly, posing risks.",Infrastructure
"The construction work on the bypass road is extremely slow.",Infrastructure
"Bus stops have no proper shelters to protect from rain or heat.",Infrastructure
"Waterlogging on roads after rains disrupts traffic heavily.",Infrastructure
"Newly constructed footpaths are already breaking down.",Infrastructure
"Roadside trees are being cut down for road expansion projects.",Infrastructure
"No traffic signs are installed at critical junctions.",Infrastructure
"Drainage covers on roads are broken and pose safety risks.",Infrastructure
"Traffic barriers near schools are missing, endangering students.",Infrastructure
